Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,AUT,122.2,121.4,119.5,118.5,118.4,115.8,115.6,118.1,117.5,117,117.4,117.8,115.9,116.7,115.4
Belgium,BEL,133.6,132.2,130.4,127.9,128.8,130.5,128.1,130.3,130.4,131.5,131.7,130.9,129.6,129.7,129.1
Bulgaria,BGR,37,36.9,38,39.7,39.7,41.2,42.1,43.8,43,44.1,44.6,45.8,46,47.5,48.8
Switzerland,CHE,123,126.2,130.5,131.1,130.4,129.3,128.8,129.9,129.6,130,130.3,127.6,125,125.2,123.6
Cyprus,CYP,91.9,92.7,94.9,95.7,95.7,92.2,89.8,88.8,86.1,84.3,85.3,87.5,86.2,85.3,83.3
Czechia,CZE,75.3,75.4,77.9,78.7,80,78,77.9,77,77.8,80,80.5,80.5,82.5,83.8,85
Germany,DEU,109.6,109.1,108.7,107.1,104,104.8,106.1,105.2,104.5,106.5,105.3,106,106.1,105.4,103.2
Denmark,DNK,109.2,109.5,107.2,108.5,110.1,115.6,114.5,114.8,115.7,115.8,115,115,117.3,116.6,117.5
Spain,ESP,100.5,102.1,101.7,101.6,105.7,102.2,101.1,103.1,103.6,103.5,102.4,102,101.9,99.8,98.7
Estonia,EST,60.4,62.3,67.8,67,67.2,71.5,72.7,74,74,75.6,72.5,73.9,74.6,76.8,78.8
Finland,FIN,114.2,113.1,116.5,116.6,113.9,113.1,112.2,109.8,108.5,107.9,107.7,108.3,109.7,108.5,107.1
France,FRA,120.2,119.2,118.6,117.4,118,117.4,116.7,115.6,117,116.4,115.9,115.5,114.8,115.2,117.2
United Kingdom,GBR,112.1,111.3,108.8,107.8,105.5,105.7,103.3,104.2,104,103.7,103.4,101.4,101.1,100.3,99.4
Greece,GRC,99.3,102.1,99,99.2,98.5,89.1,81.6,80.7,80.7,77.9,78.1,73.6,74.3,73.4,72.9
Croatia,HRV,67.2,69.5,71.3,72.2,69.9,68.8,71.6,74.1,75.4,72.4,72.3,73.7,73.9,73.7,72.9
Hungary,HUN,68.6,68.3,68.1,72.3,73.5,74.2,75,73.3,73.3,71.7,71.4,68.1,67.9,69.3,70.7
Ireland,IRL,140.8,141.4,140.8,131.5,135.4,141.6,144,147.3,143.2,147,188.9,182.1,189.2,194,195
Iceland,ISL,NaN,NaN,NaN,109.1,114.3,105.1,102.5,102,102.4,102.5,105.3,105.7,104.2,105.2,107.6
Italy,ITA,117,115.9,115.6,116.1,115.6,113.6,112.8,111.1,109.6,107.9,106.7,108.3,107.4,106.6,105.6
Lithuania,LTU,55.7,58.4,62.5,65.4,61.3,67.3,71.2,73.2,74.4,74.7,72.9,71.9,75.2,76.6,78.5
Luxembourg,LUX,169.4,177.3,177.3,170.9,163.5,163,166.2,162.7,164.1,170.1,169.8,171.1,166,164.1,162.2
Latvia,LVA,52.7,52.6,55.2,56.8,56.7,59.2,61.7,63.6,63,64.7,64.8,65.6,67.4,68.6,68.6
North Macedonia,MKD,44.7,44.3,44.3,44.4,44.7,45.9,44.5,44.1,43,43.5,43.2,44.2,43,44.3,NaN
Malta,MLT,97.8,94.6,95.2,95.1,96.3,98.2,92.3,92.9,93.3,94.1,98.7,98.1,96.3,95,94.4
Netherlands,NLD,120.9,120.8,120.3,120.7,117.5,115.1,113.3,113.6,115.6,113.7,112.9,110.7,110.6,110.3,108.3
Norway,NOR,156.6,162.1,155.4,161.8,147.6,150.1,153.5,157.7,155.6,150.2,135.1,126.3,132,137.7,129.5
Poland,POL,62,61.2,62,62.5,65.6,70.4,72.5,74.1,73.7,73.6,74.6,74.2,75.1,76.9,79.7
Portugal,PRT,77.8,78.8,78.6,78.1,79.8,79.9,76.3,76.9,80.1,79.2,78.4,78,76,75.9,77
Romania,ROU,36.7,40.2,44.2,51.9,53,53.2,54.6,55.5,56.3,56.9,58.6,63.1,66.1,68.5,72.9
Slovakia,SVK,70.3,73.2,76.8,80.1,79.6,84.5,82.3,83.7,84.3,84.5,83.6,77.1,74,73.8,73
Slovenia,SVN,84.3,83.9,83.6,84.3,80.5,79.9,80.9,80.7,81.2,81.6,80.7,81,81.8,82,82.7
Sweden,SWE,117,119,121.2,120.3,118.4,119.1,118.4,118.5,116.1,115.4,116.9,113.6,111.7,111,111
