Country Name,Country Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,AUT,4.15,4.34,4.12,4.2,4.11,4.13,4.05,4.09,4.29,4.04,4.17,
Belgium,BEL,3.91,3.92,3.86,3.95,3.81,3.81,3.83,3.85,3.84,3.79,3.61,
Bulgaria,BGR,5.91,5.86,6.46,6.12,6.59,6.81,7.11,7.69,8.23,7.66,8.1,8.01
Switzerland,CHE,4.76,4.48,4.52,4.4,4.22,4.42,4.48,4.42,4.63,4.50,4.75,
Cyprus,CYP,4.37,4.54,4.34,4.67,4.91,5.37,5.20,4.88,4.56,4.29,4.58,
Czechia,CZE,3.47,3.47,3.54,3.49,3.40,3.50,3.51,3.50,3.40,3.32,3.34,
Germany ,DEU,4.48,4.49,4.46,4.3,4.60,5.12,4.80,4.62,4.49,5.07,4.89,
Denmark,DNK,4.61,4.41,3.98,3.94,4.01,4.12,4.08,4.06,4.08,4.11,4.09,
Euro Area,EA,4.82,4.86,4.98,4.97,5.04,5.22,5.16,5.15,5.05,5.07,4.98,
Euro Area - 18 countries (2014),EA18,4.84,4.87,4.99,4.97,5.04,5.22,5.14,5.14,5.03,5.05,4.97,
Euro Area - 19 countries (from 2015),EA19,4.85,4.9,5,4.98,5.05,5.23,5.16,5.15,5.05,5.07,4.98,
Estonia,EST,5.01,5.01,5.35,5.41,5.54,6.48,6.21,5.56,5.42,5.07,5.08,
Greece,GRC,5.76,5.61,5.96,6.63,6.60,6.46,6.51,6.55,6.11,5.51,5.11,
Spain,ESP,5.87,6.16,6.28,6.47,6.29,6.81,6.87,6.60,6.59,6.03,5.94,
European Union,EU,4.92,4.94,5.03,4.98,5.00,5.20,5.22,5.16,5.08,5.12,5.09,
European Union - 27 countries (from 2007),EU27_2007,4.92,4.94,5.03,4.98,5.00,5.20,5.22,5.16,5.08,5.12,,
European Union - 27 countries (from 2020),EU27_2020,,4.89,4.99,4.98,5.05,5.22,5.22,5.16,5.03,5.05,4.99,
European Union - 28 countries (2013-2020),EU28,,4.94,5.03,4.98,5.00,5.20,5.22,5.16,5.08,5.12,5.09,
Finland,FIN,3.71,3.61,3.69,3.69,3.59,3.62,3.56,3.58,3.54,3.65,3.69,3.72
France,FRA,4.42,4.43,4.61,4.54,4.48,4.27,4.29,4.32,4.31,4.23,4.27,
Croatia,HRV,,5.54,5.58,5.36,5.34,5.12,5.16,5,5.03,5,4.76,
Hungary,HUN,3.51,3.41,3.94,4,4.29,4.33,4.3,4.26,4.27,4.35,4.23,
Ireland,IRL,4.24,4.7,4.63,4.82,4.73,4.9,4.5,4.45,4.63,4.23,4.03,
Iceland,ISL,4.22,3.61,3.32,3.36,3.36,3.12,3.43,3.33,3.59,3.21,,
Italy,ITA,5.31,5.38,5.73,5.64,5.85,5.78,5.84,6.27,5.92,6.09,6.01,
Lithuania,LTU,6.39,7.35,5.84,5.32,6.05,6.1,7.46,7.06,7.28,7.09,6.44,
Luxembourg,LUX,4.31,4.1,3.97,4.13,4.59,4.42,4.26,4.62,4.56,5.18,5.34,
Latvia,LVA,7.4,6.84,6.5,6.47,6.32,6.48,6.51,6.2,6.3,6.78,6.54,
Montenegro,MNE,,,,,8.54,7.27,7.48,7.38,7.57,7.37,6.72,
North Macedonia,MKD,,,,10.2,8.37,7.22,6.62,6.63,6.38,6.16,5.56,
Malta,MLT,3.99,4.33,4.01,3.94,4.14,4.05,4.15,4.22,4.21,4.28,4.18,
Netherlands,NLD,3.97,3.65,3.75,3.61,3.58,3.83,3.82,3.93,3.99,4.05,3.94,4.04
Norway,NOR,3.51,3.42,3.28,3.21,3.25,3.41,3.5,3.69,3.9,3.71,3.81,
Poland,POL,4.97,4.98,4.95,4.92,4.88,4.91,4.92,4.76,4.56,4.25,4.37,
Portugal,PRT,6.01,5.56,5.68,5.82,6.01,6.23,6.01,5.88,5.75,5.22,5.16,
Romania,ROU,6.53,6.11,6.24,6.6,6.83,7.24,8.32,7.2,6.45,7.21,7.08,
Serbia,SRB,,,,,8.59,9.41,10.7,11.02,9.38,8.58,6.46,
Sweden,SWE,3.96,3.85,3.95,3.98,3.97,4.15,4.06,4.25,4.27,4.13,4.33,
Slovenia,SVN,3.24,3.42,3.46,3.44,3.6,3.7,3.6,3.56,3.42,3.38,3.39,
Slovakia,SVK,3.56,3.8,3.81,3.73,3.58,3.93,3.54,3.63,3.49,3.03,3.34,
Turkey,TUR,10.35,9.93,9.51,9.33,8.7,8.35,8.61,8.65,8.68,8.66,8.35,
United Kingdom,GBR,5.25,5.35,5.34,4.98,4.63,5.06,5.23,5.12,5.4,5.63,,
Kosovo,XKX,,,,,,,,,,15.58,,
